City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ahipara,-35.1667,173.1667,294.39,55,0,3.53,NZ,1678237878
1,nanortalik,60.1432,-45.2371,270.93,81,100,2.96,GL,1678237879
2,chapais,49.7834,-74.8492,264.03,94,100,5.14,CA,1678237879
3,port elizabeth,-33.918,25.5701,294.99,88,2,1.79,ZA,1678237611
4,kavaratti,10.5669,72.642,300.56,67,4,2.1,IN,1678237881
5,bredasdorp,-34.5322,20.0403,290.6,89,100,2.53,ZA,1678237881
6,ishigaki,24.3448,124.1572,293.8,61,100,4.48,JP,1678237882
7,tuktoyaktuk,69.4541,-133.0374,252.35,87,19,7.52,CA,1678237882
8,jamestown,42.097,-79.2353,273.92,54,0,6.69,US,1678237883
9,mataura,-46.1927,168.8643,296.19,38,0,2.46,NZ,1678237883
10,adeje,28.1227,-16.726,289.87,71,20,3.09,ES,1678237884
11,kapaa,22.0752,-159.319,300.33,62,0,10.8,US,1678237885
12,hervey bay,-25.2986,152.8535,300.22,67,30,5.55,AU,1678237688
13,marystown,47.1666,-55.1483,275.08,97,100,9.97,CA,1678237885
14,korla,41.7597,86.1469,279.94,51,0,1.51,CN,1678237887
15,rikitea,-23.1203,-134.9692,299.24,81,100,10.66,PF,1678237887
16,lidzbark warminski,54.1259,20.5795,272.76,81,36,8.41,PL,1678237888
17,hermanus,-34.4187,19.2345,292.04,83,98,2.85,ZA,1678237888
18,hithadhoo,-0.6,73.0833,301.19,74,25,5.18,MV,1678237889
19,buchanan,5.8808,-10.0467,299.75,88,100,3.0,LR,1678237889
20,albany,42.6001,-73.9662,271.44,62,80,3.58,US,1678237890
21,talnakh,69.4865,88.3972,241.04,96,100,1.49,RU,1678237890
22,amur,54.0,128.0,263.57,69,8,1.43,RU,1678237891
23,upernavik,72.7868,-56.1549,258.35,95,56,3.03,GL,1678237891
24,butaritari,3.0707,172.7902,300.79,72,100,5.51,KI,1678237892
25,punta arenas,-53.15,-70.9167,280.21,65,40,3.09,CL,1678237648
26,norman wells,65.282,-126.8329,255.6,92,23,3.11,CA,1678237893
27,torbay,47.6666,-52.7314,274.58,96,100,7.2,CA,1678237893
28,wajir,1.7471,40.0573,298.34,66,93,5.94,KE,1678237894
29,port alfred,-33.5906,26.891,294.92,91,13,1.79,ZA,1678237894
30,ust-kuyga,70.0167,135.6,244.29,100,100,2.01,RU,1678237894
31,katsuura,35.1333,140.3,289.76,55,0,6.16,JP,1678237895
32,zhob,31.3411,69.4481,286.45,56,0,0.48,PK,1678237702
33,krasnovishersk,60.4078,57.082,262.9,97,100,1.13,RU,1678237896
34,vila franca do campo,37.7167,-25.4333,289.38,87,100,8.35,PT,1678237896
35,anadyr,64.75,177.4833,245.43,69,0,4.0,RU,1678237897
36,yenagoa,4.9247,6.2642,298.57,90,98,1.85,NG,1678237897
37,nikolskoye,59.7035,30.7861,266.37,95,100,3.41,RU,1678237898
38,tasiilaq,65.6145,-37.6368,264.24,93,88,2.48,GL,1678237898
39,evensk,61.95,159.2333,259.39,92,100,2.29,RU,1678237899
40,khatanga,71.9667,102.5,235.62,100,96,1.8,RU,1678237899
41,flin flon,54.7682,-101.865,253.64,98,100,1.51,CA,1678237899
42,ushuaia,-54.8,-68.3,276.8,85,18,5.48,AR,1678237900
43,huarmey,-10.0681,-78.1522,297.23,79,100,2.08,PE,1678237900
44,ponta do sol,32.6667,-17.1,293.15,80,26,2.61,PT,1678237901
45,havre-saint-pierre,50.2334,-63.5986,275.88,80,100,9.22,CA,1678237902
46,kokopo,-4.352,152.2633,300.4,74,100,3.39,PG,1678237902
47,hilo,19.7297,-155.09,300.9,81,100,4.12,US,1678237885
48,lata,40.1629,-8.3327,288.1,97,100,3.13,PT,1678237903
49,cabo san lucas,22.8909,-109.9124,298.32,41,40,4.63,MX,1678237809
50,siparia,10.1333,-61.5,298.61,82,100,4.54,TT,1678237904
51,cherskiy,68.75,161.3,244.4,90,93,1.21,RU,1678237904
52,mogadishu,2.0371,45.3438,298.81,88,73,7.03,SO,1678237905
53,mana,5.6592,-53.7767,297.89,86,98,4.57,GF,1678237905
54,ocampo,21.65,-101.5,294.13,17,100,3.04,MX,1678237905
55,mount darwin,-16.7725,31.5838,291.96,91,94,1.54,ZW,1678237906
56,arraial do cabo,-22.9661,-42.0278,297.77,89,100,10.33,BR,1678237765
57,new norfolk,-42.7826,147.0587,286.87,71,100,3.58,AU,1678237907
58,koeru,58.9631,26.0308,268.58,94,100,5.96,EE,1678237907
59,camana,-16.6228,-72.7111,297.37,81,100,1.82,PE,1678237908
60,pouembout,-21.1333,164.9,303.07,53,7,2.42,NC,1678237908
